id;DB;LT;PCS;TCFM;TCZM;TMVM;DRA;RGC;RGNC;PCSC;TCFC;TMVC;TCZC;RCF;
1;537;30,20;4647;14,41;0,13;85,45;342;35,05;16,44;7152;71,23;28,43;0,33;24,97;
2;557;32,19;4696;14,38;0,07;85,55;381;34,63;17,22;7088;72,46;27,10;0,44;25,09;
3;573;29,27;4670;12,29;0,23;87,48;369;34,32;16,76;7024;69,78;30,02;0,20;23,95;
4;565;29,62;4676;13,54;0,11;86,35;411;34,56;16,44;7329;73,68;25,95;0,38;25,46;
5;581;29,19;4656;13,94;0,12;85,94;399;34,97;16,31;7093;70,43;29,31;0,26;24,63;
6;598;31,84;4659;13,80;0,18;86,02;376;34,84;16,58;7157;70,79;28,87;0,34;24,67;
7;565;30,82;4652;14,45;0,12;85,43;367;35,28;17,05;7109;71,24;28,31;0,45;25,13;
8;576;30,84;4687;13,78;0,11;86,11;373;35,59;17,79;7125;71,61;28,09;0,30;25,49;
9;582;31,13;4707;14,28;0,17;85,55;437;35,61;16,53;7039;72,20;27,45;0,34;25,71;
10;563;28,60;4673;13,97;0,14;85,89;486;34,53;16,35;6984;72,03;27,67;0,29;24,87;
11;561;27,73;4620;13,61;0,08;86,31;349;33,86;17,00;7247;71,63;28,08;0,28;24,25;
12;557;29,75;4654;12,51;0,12;87,37;417;34,49;16,39;6830;72,60;26,82;0,58;25,04;
13;589;28,26;4647;13,55;0,13;86,32;450;34,62;17,39;7012;72,45;27,03;0,52;25,08;
14;573;31,22;4628;13,89;0,18;85,93;394;33,98;17,38;7124;70,66;28,80;0,54;24,01;
15;596;29,48;4681;15,52;0,10;84,38;382;35,64;17,07;7020;70,37;29,36;0,27;25,08;
16;578;30,03;4674;14,87;0,15;84,97;385;36,62;15,99;7213;72,46;27,08;0,45;27,54;
17;565;30,28;4646;13,34;0,09;86,57;337;34,11;16,53;6859;67,82;32,02;0,16;32,18;
18;561;30,28;4620;15,03;0,16;84,81;304;34,43;16,80;7385;73,42;26,19;0,39;26,58;
19;547;28,71;4658;14,71;0,07;85,22;309;35,16;17,30;7149;72,69;26,72;0,59;27,31;
20;584;33,49;4729;13,69;0,07;86,23;340;34,97;17,64;6877;73,34;26,33;0,32;26,66;
21;602;34,35;4700;14,73;0,08;85,20;493;33,76;16,74;7238;71,34;28,26;0,40;28,66;
22;587;29,24;4684;11,72;0,25;88,03;369;34,32;16,76;7024;69,78;30,02;0,20;30,22;
23;577;29,30;4656;12,86;0,21;86,93;373;34,46;16,38;6967;68,18;31,61;0,21;31,82;
24;582;29,27;4670;12,29;0,23;87,48;364;34,17;17,15;7081;71,38;28,43;0,18;28,62;
25;604;30,08;4673;12,72;0,13;87,15;407;33,41;16,71;7495;75,58;24,07;0,35;24,42;
26;590;30,40;4687;14,63;0,11;85,26;432;34,87;16,90;7254;72,79;26,80;0,40;27,21;
27;594;28,38;4670;13,27;0,08;86,65;393;35,39;15,73;7239;72,65;26,97;0,37;27,35;
28;591;30,51;4679;14,04;0,08;85,88;466;34,51;15,75;7067;68,72;30,98;0,30;31,28;
29;607;29,96;4680;13,99;0,07;85,94;362;35,63;16,15;7138;71,68;28,10;0,22;28,32;
30;608;27,10;4611;13,79;0,20;86,01;370;34,76;17,02;7076;70,90;28,84;0,26;29,10;
31;598;30,99;4685;14,28;0,22;85,50;367;35,45;16,45;7194;69,04;30,59;0,37;30,96;
32;608;31,01;4626;13,60;0,18;86,22;315;33,85;17,26;7188;72,57;27,09;0,33;27,43;
33;617;33,51;4667;13,52;0,13;86,35;447;35,23;16,03;7088;70,74;28,94;0,31;29,26;
34;591;30,28;4654;14,34;0,11;85,54;398;35,34;16,53;7233;71,48;27,92;0,60;28,52;
35;608;30,52;4631;13,83;0,06;86,11;354;35,42;17,37;7068;72,34;27,36;0,29;27,66;
36;607;31,64;4671;15,19;0,17;84,64;348;35,08;17,25;7027;69,90;29,65;0,45;30,10;
37;612;29,55;4659;12,76;0,07;87,16;316;35,86;16,91;6938;69,05;30,87;0,07;30,95;
38;603;32,89;4706;15,20;0,06;84,73;363;35,33;17,62;7144;72,01;27,52;0,47;27,99;
39;598;30,08;4695;13,38;0,18;86,43;439;35,58;18,84;7294;73,76;25,89;0,35;26,24;
40;616;29,13;4702;13,36;0,23;86,40;416;34,97;16,97;7205;74,16;25,63;0,20;25,84;
41;615;32,10;4722;14,63;0,11;85,26;483;35,84;16,35;7029;70,48;29,10;0,42;29,52;
42;631;32,16;4696;14,83;0,17;85,00;412;36,01;16,27;6883;71,97;27,63;0,39;28,03;
43;647;28,53;4666;14,81;0,19;85,00;479;33,82;16,60;6915;73,07;26,61;0,32;26,93;
44;636;26,81;4682;12,91;0,05;87,03;351;34,99;16,74;6842;67,99;31,80;0,21;32,01;
45;643;30,46;4672;14,20;0,17;85,63;374;34,78;15,71;7195;75,05;24,60;0,35;24,95;
46;591;28,20;4636;14,73;0,03;85,24;325;34,51;16,37;7089;70,95;28,86;0,19;29,05;
47;592;27,39;4625;12,21;0,06;87,73;349;32,33;17,32;7315;72,45;27,07;0,48;27,55;
48;592;27,60;4598;13,90;0,15;85,95;373;34,74;17,33;7339;71,50;28,32;0,18;28,50;
49;586;29,39;4644;13,59;0,07;86,34;411;35,87;14,45;6672;73,42;26,03;0,55;26,58;
50;590;30,18;4678;12,41;0,01;87,57;423;33,76;18,17;6844;73,27;26,07;0,66;26,73;
